name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Junta: Viva el Presidente!,1622,2010,"Dice Rolling, Hand Management, Simultaneous Action Selection","Dice, Fighting, Humor, Negotiation","Party Games, Thematic Games",4560 minutes,10 and up,10 and up,Junta,Moderate in-game text - needs crib sheet or paste ups,2011 Golden Geek Best Party Board Game Nominee,35,Best with 5 players,111,null,6.55,1.37
Beasty Bar,1623,2014,Beasty Bar: Tasmanian Devil,"Hand Management, Take That","Animals, Card Game",20 minutes,8 and up,8 and up,Beasty Bar: New Beasts in Town,No necessary in-game text,"Family Games, Party Games",24,Best with 4 players,415,null,6.83,1.16
Fealty,1624,2011,"Area Control / Area Influence, Area Enclosure, Hand Management, Modular Board","Abstract Strategy, Medieval, Territory Building","Abstract Games, Strategy Games",30 minutes,,12 and up,Crowdfunding: Kickstarter,Some necessary text - easily memorized or small crib sheet,"2011 Golden Geek Best Abstract Board Game Nominee, 2012 Golden Geek Best Abstract Board Game Nominee",24,Best with 2 players,722,null,6.86,1.29
Milestones,1625,2012,,"Route/Network Building, Tile Placement",Territory Building,60 minutes,10 and up,10 and up,,No necessary in-game text,Strategy Games,24,Best with 3 players,677,6.63,1.18,64891
Ristorante Italia,1626,2011,"Auction/Bidding, Card Drafting, Set Collection, Worker Placement",Economic,"Family Games, Strategy Games",90 minutes,10 and up,8 and up,"Country: Italy, Food / Cooking",Some necessary text - easily memorized or small crib sheet,2011 Lucca Games Best Family Game Nominee,25,Best with 34 players,402,null,7.04,1.31
Hostage Negotiator,1627,2015,"Hostage Negotiator: Abductor Pack 1, Hostage Negotiator: Abductor Pack 2, Hostage Negotiator: Abductor Pack 3, Hostage Negotiator: Abductor Pack 4","Card Drafting, Dice Rolling, Hand Management","Card Game, Dice",20 minutes,13 and up,14 and up,"Crowdfunding: Kickstarter, Solitaire Games",Some necessary text - easily memorized or small crib sheet,Thematic Games,1,Best with 1 players,289,7.46,1.30,59309
Kashgar: Hndler der Seidenstrae,1628,2013,Deck / Pool Building,"Card Game, Economic",Strategy Games,45 minutes,12 and up,10 and up,,Extensive use of text - massive conversion needed to be playable,2014 Fairplay  la carte Winner,24,Best with 23 players,369,7.10,1.14,35627
Song of Blades and Heroes,1629,2007,"Song of Deeds and Glory, Song of Gold and Darkness, Song of Rooks and Pawns, Song of Wind and Water","Action Point Allowance System, Dice Rolling, Variable Player Powers","Fantasy, Miniatures, Print & Play, Wargame",45 minutes,12 and up,10 and up,"Advanced Song of Blades and Heroes, ShadowSea:  The Stygian Depths, Song of Shadows and Dust",Some necessary text - easily memorized or small crib sheet,Wargames,26,Best with 2 players,251,7.77,1.32,94585
Aqua Romana,1630,2005,"Route/Network Building, Tile Placement","Abstract Strategy, Ancient",Family Games,4560 minutes,8 and up,8 and up,"Ancient Rome, Cities: Rome",No necessary in-game text,"2006 rets Spill Best Family Game Nominee, 2006 Spiel des Jahres Nominee",24,(Not best with any number),1316,6.38,1.19,95772
Graenaland,1631,2006,"Modular Board, Partnerships, Voting","Civilization, Medieval",Strategy Games,90 minutes,12 and up,12 and up,Vikings,No necessary in-game text,2007 Hra roku Nominee,35,Best with 4 players,569,6.77,1.26,79052
Stalingrad Pocket (second edition),1632,1996,"Country: Russia, Standard Combat Series",Stalingrad Pocket (first edition),Hex-and-Counter,180 minutes,15 and up,(no votes yet),,,"Wargame, World War II",2,,348,7.32,1.35,77025
"Goblins, Inc.",1633,2012,"Goblins, Inc.: Promo cards","Dice Rolling, Partnerships, Tile Placement","Dice, Fantasy, Industry / Manufacturing",60 minutes,13 and up,10 and up,Goblins,No necessary in-game text,Thematic Games,24,Best with 4 players,747,6.60,1.38,122430
Bastogne: Screaming Eagles under Siege,1634,2009,"Standard Combat Series, World War 2: Battle of the Bulge","Dice Rolling, Hex-and-Counter","Wargame, World War II",300 minutes,,10 and up,,Some necessary text - easily memorized or small crib sheet,Wargames,2,Best with 2 players,278,7.46,1.44,66328
UR,1635,2006,"Action Point Allowance System, Area Enclosure, Modular Board, Set Collection","Abstract Strategy, Civilization",Strategy Games,45 minutes,10 and up,10 and up,,No necessary in-game text,2006 Lucca Games Best Boardgame,34,Best with 4 players,843,6.52,1.37,78682
Stonewall Jackson's Way,1636,1992,Hex-and-Counter,"American Civil War, Wargame",Wargames,180 minutes,12 and up,14 and up,"The Skirmisher #1, The Skirmisher #2",No necessary in-game text,1992 Charles S. Roberts Best Wargaming Graphics Nominee,12,Best with 2 players,286,7.54,1.38,47534
Pocket Battles: Elves vs. Orcs,1637,2010,"Pocket Battles: Celts vs. Romans, Pocket Battles: Confederacy vs Union, Pocket Battles: Macedonians vs. Persians",Dice Rolling,"Fantasy, Wargame",20 minutes,8 and up,12 and up,"Fairies, Elves and Pixies, Pocket Battles",No necessary in-game text,Wargames,2,Best with 2 players,624,6.73,1.32,92819
Nautilus,1638,2002,"Set Collection, Tile Placement","City Building, Economic, Exploration, Nautical",Strategy Games,120 minutes,12 and up,12 and up,,No necessary in-game text,"2002 Japan Boardgame Prize Best Advanced Game Nominee, 2003 International Gamers Awards - General Strategy; Multi-player Nominee",24,Best with 4 players,1154,6.42,1.29,93109
Bitter Woods (fourth edition),1639,2003,Designer Edition Bitter Woods,Bitter Woods (4th Edition) Expansion Kit,"Dice Rolling, Hex-and-Counter",240 minutes,12 and up,Some necessary text - easily memorized or small crib sheet,Bitter Woods,,"Dice, Wargame, World War II",24,,273,7.68,1.59,107464
Battle Hymn,1640,1986,Battle Hymn: Leatherneck,Hex-and-Counter,"Wargame, World War II",240 minutes,12 and up,12 and up,"Ambush! solitaire wargame system, Solitaire Games, Solitaire Wargames",Extensive use of text - massive conversion needed to be playable,Wargames,1,Best with 1 players,316,7.41,1.50,55933
Andromeda,1641,1999,Admin: Better Description Needed!,"Area Control / Area Influence, Set Collection, Trading","Science Fiction, Space Exploration, Territory Building",60 minutes,10 and up,10 and up,,No necessary in-game text,"Family Games, Strategy Games",35,Best with 4 players,472,null,6.42,1.25
Axis & Allies: D-Day,1642,2004,"Area Movement, Dice Rolling, Partnerships","Wargame, World War II",Wargames,120 minutes,12 and up,12 and up,"Axis & Allies, Country: France",Some necessary text - easily memorized or small crib sheet,"2004 Origins Awards Gamers Choice Award Winner, 2005 rets Spill Best Strategy Game Nominee",23,Best with 2 players,1510,6.41,1.51,167056
Hegemonic,1643,2013,"Hegemonic Promo Card: Cosmic Engineering, Hegemonic Promo Card: Dimensional Anomaly","Area Control / Area Influence, Hand Management, Modular Board, Simultaneous Action Selection","Civilization, Economic, Science Fiction, Space Exploration",180 minutes,13 and up,12 and up,"4X games, Crowdfunding: Kickstarter",Extensive use of text - massive conversion needed to be playable,Strategy Games,26,Best with 4 players,378,7.10,1.47,167780
Tyros,1644,2002,"Country: Lebanon, Spiele fr viele",Trading,"Ancient, Civilization, Nautical, Negotiation",90 minutes,10 and up,10 and up,,No necessary in-game text,Strategy Games,34,Best with 4 players,791,6.54,1.14,68068
The Bucket King,1645,2002,"Hand Management, Take That","Animals, Card Game",Family Games,45 minutes,10 and up,6 and up,Bucket King 3D,No necessary in-game text,"2002 Fairplay  la carte Winner, 2002 Japan Boardgame Prize Best Childgame Nominee, 2002 Japan Boardgame Prize Best Foreign Game for Beginners Nominee, 2002 Spiel der Spiele Hit fr Familien Recommended",26,Best with 6 players,1373,6.34,1.19,56304
Magic: The Gathering  Arena of the Planeswalkers,1646,2015,Admin: Better Description Needed!,Magic: The Gathering  Arena of the Planeswalkers  Battle for Zendikar,"Dice Rolling, Grid Movement, Hand Management, Modular Board",60 minutes,10 and up,(no votes yet),,,"Fantasy, Miniatures, Wargame",25,,310,7.44,1.46,116242
Knightmare Chess,1647,1994,Grid Movement,"Abstract Strategy, Card Game",Abstract Games,60 minutes,10 and up,10 and up,Knightmare Chess (third edition),Extensive use of text - massive conversion needed to be playable,1995 Fairplay  la carte Winner,2,Best with 2 players,1182,6.42,1.43,68360
Mogel Motte,1648,2011,Hand Management,"Action / Dexterity, Card Game","Family Games, Party Games",30 minutes,7 and up,6 and up,Drei Magier Ugly Animals,No necessary in-game text,"2012 Deutscher Spiele Preis Best Children's Game Winner, 2012 Fairplay  la carte Winner, 2012 JUGuinho Best Children's Game Winner, 2012 Spiel des Jahres Kinderspiel Recommended",35,Best with 5 players,442,null,6.60,1.43
